Hospital Name,City,StaffedBeds,TotalDischarges,PatientDays,Gross PatientRevenue ($000)
INSIGHT Hospital and Medical Center Chicago,Chicago,144892,5360,26016,481792
Iroquois Memorial Hospital,Watseka,60,467,1437,64423
Jackson Park Hospital,Chicago,183,2418,15161,204694
Jacksonville Memorial Hospital,Jacksonville,121,2392,8932,403492
Javon Bea Hospital - Rockton,Rockford,311,12383,65793,1462686
Jersey Community Hospital,Jerseyville,46,725,2512,127109
"John H. Stroger, Jr. Hospital of Cook County",Chicago,451,15808,81431,1575460
Katherine Shaw Bethea Hospital,Dixon,80,2765,9334,460154
Lake Behavioral Hospital ,Waukegan,146,0,0,40022
Loretto Hospital,Chicago,122,4002,20033,100373
Loyola Gottlieb Memorial Hospital,Melrose Park,201,4626,23773,604455
Loyola University Medical Center,Maywood,516,20733,122093,4710703
MacNeal Hospital,Berwyn,328,12158,48459,1602233
McDonough District Hospital,Macomb,45,1069,3225,174502
Memorial Hospital Belleville,Belleville,294,9254,45812,943467
Memorial Hospital East,Shiloh,94,5688,16748,434249
Memorial Hospital of Carbondale,Carbondale,175,9235,36263,1109896
Morris Hospital,Morris,89,3482,14376,613060
Mount Sinai Hospital,Chicago,264,9470,55077,1255482
Northwest Community Hospital,Arlington Heights,509,18962,82777,1669049
Northwestern Medicine Central DuPage Hospital,Winfield,395,19538,93993,5880950
Northwestern Medicine Delnor Hospital,Geneva,144,9633,37657,2043559
Northwestern Medicine Lake Forest Hospital,Lake Forest,122,11233,41036,2320722
Northwestern Medicine McHenry Hospital,McHenry,282,17113,75777,2431647
Northwestern Medicine Palos Hospital,Palos Heights,413,17646,82944,1519507
Northwestern Medicine Woodstock Hospital,Woodstock,32,1429,8123,156935
Northwestern Memorial Hospital,Chicago,903,41891,292716,9175579
OSF Heart of Mary Medical Center,Urbana,204,4777,17131,470310
OSF Little Company of Mary Medical Center,Evergreen Park,220,17149,60937,1193876
OSF Sacred Heart Medical Center,Danville,174,4301,15517,489512
OSF Saint Anthony Medical Center,Rockford,241,10042,56061,1562111
OSF Saint Anthony's Health Center,Alton,49,2338,11637,396333
OSF Saint Elizabeth Medical Center,Ottawa,97,3388,12584,464257
OSF Saint Francis Medical Center,Peoria,669,28384,160946,4849040
OSF Saint James-John W. Albrecht Medical Center,Pontiac,42,1695,6633,240973
OSF Saint Joseph Medical Center,Bloomington,149,7058,32886,844971
OSF Saint Mary Medical Center,Galesburg,81,3574,15266,452831
Provident Hospital of Cook County,Chicago,38,436,3104,139556
Riverside Medical Center ,Kankakee,300,9149,45004,1317204
Rush Oak Park Hospital,Oak Park,185,4213,18081,565444
Rush University Medical Center,Chicago,644,28976,162632,5228969
Rush-Copley Medical Center,Aurora,210,11592,52778,1699505
Saint Anthony Hospital,Chicago,151,3512,18225,326506
Saint Bernard Hospital and Health Care Center,Chicago,174,2889,15907,154247
Saint Margaret's Health-Spring Valley,Spring Valley,44,1592,5749,241665
Sarah Bush Lincoln Health Center,Mattoon,99,6442,23186,1070914
Silver Cross Hospital,New Lenox,300,19267,85291,1433689
Skokie Hospital,Skokie,156,6535,29006,557818
South Shore Hospital,Chicago,137,1374,13612,122714
Springfield Memorial Hospital,Springfield,459,18918,110490,2770061
SSM Health Good Samaritan Hospital - Mount Vernon,Mount Vernon,125,9642,23338,564454
SSM Health Saint Mary's Hospital-Centralia,Centralia,116,4357,11477,301392
St. Margaret's Hospital,Peru,49,1490,5725,237772
Swedish Hospital,Chicago,242,9673,48946,1250091
SwedishAmerican Hospital,Rockford,307,14472,72394,3393698
The New Roseland Community Hospital,Chicago,134,2595,15586,158677
Thorek Memorial Hospital,Chicago,156,4137,20603,150753
Thorek Memorial Hospital Andersonville,Chicago,145,2617,13149,26639
Touchette Regional Hospital,Centreville,123,1829,6593,53922
Trinity Rock Island,Rock Island,318,10376,44777,928234
UChicago Medicine,Chicago,678,28672,225078,10100561
UChicago Medicine Ingalls Memorial,Harvey,301,11483,62778,1534483
UnityPoint Health - Methodist ,Peoria,277,11534,53703,1489620
UnityPoint Health - Pekin,Pekin,95,1541,7039,288826
UnityPoint Health - Proctor,Peoria,170,2355,10046,563947
University of Illinois Medical Center,Chicago,484,17637,99939,2839423
Vista Medical Center East,Waukegan,190,8892,36731,1066782
Weiss Memorial Hospital,Chicago,144,4536,21128,506388
West Suburban Medical Center,Oak Park,174,5731,27593,852376
T O T A L, ,172954,1130243,5569126,158630069
